,Roll_Num,Uni_ID,Student Name,Subject,Percentage
157,10123841,20012431,AAA AAA431,ECL3311,73.91
158,10123843,20012433,AAA AAA433,CSP2301,74.19
159,10123845,20012435,AAA AAA435,ECL3311,73.91
160,10123846,20012436,AAA AAA436,CSL4207,72.41
161,10123848,20012438,AAA AAA438,CSL3307,73.33
162,10123851,20012441,AAA AAA441,CSL4207,72.88
163,10123853,20012443,AAA AAA443,CSL3307,51.11
164,10123854,20012444,AAA AAA444,CSL3307,22.22
165,10123856,20012446,AAA AAA446,CSL4207,74.58
166,10123857,20012447,AAA AAA447,ECL3311,74
167,10123860,20012450,AAA AAA450,ECL3311,74
168,10123861,20012451,AAA AAA451,ECL3311,74
169,10123862,20012452,AAA AAA452,CSL4207,66.1
170,10123863,20012453,AAA AAA453,CSL3307,68.89
171,10123864,20012454,AAA AAA454,CSL4305,73.77
172,10123865,20012455,AAA AAA455,CSL3307,44.44
173,10123866,20012456,AAA AAA456,ECL3311,74
174,10123867,20012457,AAA AAA457,CSL3307,62.22
175,10123869,20012459,AAA AAA459,CSL4207,64.41
176,10123870,20012460,AAA AAA460,CSL3307,73.33
177,10123871,20012461,AAA AAA461,CSL5210,73.33
178,10123872,20012462,AAA AAA462,GEW1607,50
179,10123873,20012463,AAA AAA463,CSL4207,67.8
180,10123874,20012464,AAA AAA464,CSL2301,74.19
181,10123875,20012465,AAA AAA465,CSL4207,74.58
182,10123881,20012471,AAA AAA471,CSL4207,74.58
183,10123882,20012472,AAA AAA472,CSL3307,64.44
184,10123883,20012473,AAA AAA473,ECL3311,73.77
185,10123885,20012475,AAA AAA475,CSL4207,74.58
186,10123886,20012476,AAA AAA476,CSL4207,64.41
187,10123895,20012485,AAA AAA485,CSL2301,67.74
188,10123896,20012486,AAA AAA486,CSL4318,74.19
189,10123897,20012487,AAA AAA487,CSL3307,72.73
190,10123898,20012488,AAA AAA488,CSL4305,69.49
191,10123899,20012489,AAA AAA489,CSL4207,66.1
192,10123900,20012490,AAA AAA490,ECL3311,73.77
193,10123906,20012496,AAA AAA496,ECL3311,72.13
194,10123909,20012499,AAA AAA499,CSL3307,65.91
195,10123910,20012500,AAA AAA500,CSL3307,72.73
196,10123913,20012503,AAA AAA503,CSL4207,74.58
197,10123916,20012506,AAA AAA506,CSL3307,72.73
198,10123919,20012509,AAA AAA509,CSL4207,74.58
199,10123920,20012510,AAA AAA510,CSL4207,72.88
200,10123921,20012511,AAA AAA511,ECL3311,0
201,10123922,20012512,AAA AAA512,ECL3311,73.33
202,10123925,20012515,AAA AAA515,CSL2301,67.74
203,10123926,20012516,AAA AAA516,CSL4305,72.55
204,10123928,20012518,AAA AAA518,ECL3311,73.33
205,10123932,20012522,AAA AAA522,ECL3311,73.33
206,10123934,20012524,AAA AAA524,CSL3307,63.64
207,10123936,20012526,AAA AAA526,CSL4305,73.33
208,10123937,20012527,AAA AAA527,CSL2301,70.97
209,10123939,20012529,AAA AAA529,CSL3307,65.91
210,10123940,20012530,AAA AAA530,CSL2301,70.97
211,10123942,20012532,AAA AAA532,CSL4305,73.33
212,10123944,20012534,AAA AAA534,CSL4336,73.17
213,10123945,20012535,AAA AAA535,CSL3307,71.43
214,10123946,20012536,AAA AAA536,ECL3311,40
215,10123950,20012540,AAA AAA540,CSL3307,28.57
216,10123951,20012541,AAA AAA541,CSL2301,74.19
217,10123952,20012542,AAA AAA542,ECL3311,73.33
218,10123953,20012543,AAA AAA543,CSL4305,66.67
219,10123956,20012546,AAA AAA546,CSL4305,72.55
220,10123957,20012547,AAA AAA547,CSL4305,72.55
221,10123958,20012548,AAA AAA548,CSL4305,72.55
222,10123960,20012550,AAA AAA550,CSL3307,73.81
223,10123962,20012552,AAA AAA552,CSL5210,0
224,10123964,20012554,AAA AAA554,CSL2301,74.19
225,10123965,20012555,AAA AAA555,CSL5210,0
226,10123967,20012557,AAA AAA557,CSL5210,0
227,10123968,20012558,AAA AAA558,CSL5210,0
